OBJECTID,LOCNUM,CONAME,STREET,CITY,STATE,STATE_NAME,ZIP,ZIP4,NAICS,SIC,SALESVOL,HDBRCH,ULTNUM,PUBPRV,EMPNUM,FRNCOD,ISCODE,SQFTCODE,LOC_NAME,STATUS,SCORE,SOURCE,REC_TYPE
728315,167190156,PALENQUE MEXICAN RESTAURANT,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1347,72251117,581208,271,,0,,9,,V,2,PointAddress,M,100,INFOGROUP,0
1412877,265985358,HONG FA,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1448,72251117,581208,211,,0,,7,,,1,PointAddress,M,100,INFOGROUP,0
1722056,369201561,HILLTOP,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2327,72251117,581208,181,,0,,6,,,2,PointAddress,M,100,INFOGROUP,0
2576252,403678380,SEASONS RESTAURANT,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1932,72251117,581208,151,,0,,5,,A,2,PointAddress,M,100,INFOGROUP,0
3612124,416604348,DRIFTERS CAFE & DRIVE INN,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2327,72251117,581208,151,,0,,5,,,3,PointAddress,M,100,INFOGROUP,0
6418607,529314932,PIZZA FACTORY,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1932,72251117,581208,181,2,452171762,,6,,P,2,PointAddress,M,100,INFOGROUP,0
6843474,586476806,SUBWAY,GREENACRES LN,GRANGEVILLE,ID,Idaho,83530,1330,72251117,581208,361,2,452186299,,12,R,D,1,PointAddress,M,100,INFOGROUP,0
8033204,700225784,MOUNTAIN SMOOTHIE,HIGHWAY 13,GRANGEVILLE,ID,Idaho,83530,5065,72251117,581208,151,,0,,5,,,3,PointAddress,M,100,INFOGROUP,0
8859290,711829092,ALASKA REPLACEMENTS LLC,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2233,72251117,581208,151,,0,,5,,,3,PointAddress,M,100,INFOGROUP,0
728352,167191857,GALLERY BISTRO,W NORTH ST,GRANGEVILLE,ID,Idaho,83530,1764,72232001,581212,91,,0,,3,,,1,PointAddress,M,100,INFOGROUP,0
6793663,580493146,ONE FOR THE ROAD,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1348,72251505,581228,61,,0,,2,,,1,PointAddress,M,100,INFOGROUP,0
7873143,691252589,CREMA CAFE,N COLLEGE ST,GRANGEVILLE,ID,Idaho,83530,1911,72251505,581228,241,,0,,8,,,2,PointAddress,M,100,INFOGROUP,0
6554723,548362276,ESTABLISHMENT,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2234,72241001,581301,105,,0,,3,,,1,PointAddress,M,100,INFOGROUP,0
728338,167190966,IRWIN DRUG INC,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1932,44611009,591205,2109,,0,,10,,I,4,PointAddress,M,100,INFOGROUP,0
2022731,400157313,LIQUOR STORE & MORE,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2235,44531004,592102,507,,0,,3,,,1,PointAddress,M,100,INFOGROUP,0
921305,213590383,SYRINGA GENERAL HOSP THRIFT,HIGHWAY 95 N,GRANGEVILLE,ID,Idaho,83530,,45331041,593222,42,,0,,1,,,1,StreetName,M,100,INFOGROUP,0
728309,167189547,B & B BARGAIN,E SOUTH ST,GRANGEVILLE,ID,Idaho,83530,2266,45331033,593226,84,,0,,2,,,1,PointAddress,M,100,INFOGROUP,0
6418609,529315103,SECOND HAND TREASURES,VOLLMER ST,GRANGEVILLE,ID,Idaho,83530,,45331033,593226,499,,0,,12,,,3,PointAddress,M,100,INFOGROUP,0
728347,167191527,RAE BROTHERS SPORTING GOODS,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2235,45111055,594113,545,,0,,5,,,2,PointAddress,M,100,INFOGROUP,0
10482109,722939355,BOOK-N-HAND,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2209,45121105,594201,428,,0,,3,,,3,PointAddress,M,100,INFOGROUP,0
3719010,418100715,WALKER'S JEWELRY-PHOTO,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1932,44831012,594409,117,,0,,1,,,2,PointAddress,M,100,INFOGROUP,0
1522997,308700939,HOME GROWN QUILTS,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1915,45113007,594902,271,,0,,3,,,1,PointAddress,M,100,INFOGROUP,0
728346,167191394,LICK CREEK FOOD SVC LLC,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2233,45439007,596305,595,,0,,19,,,5,PointAddress,M,100,INFOGROUP,0
2603337,403834218,CHARTWELLS,S IDAHO AVE,GRANGEVILLE,ID,Idaho,83530,1420,45439007,596305,126,2,452172505,,4,,,3,PointAddress,M,100,INFOGROUP,0
10401950,722435019,BLUE RHINO,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,5192,45431017,598406,0,2,490518057,2,0,H,,,PointAddress,M,100,INFOGROUP,0
10401954,722435024,BLUE RHINO,SOUTH E ST,GRANGEVILLE,ID,Idaho,83530,,45431017,598406,0,2,490518057,2,0,H,,,PointAddress,M,100,INFOGROUP,0
728322,167190347,GRANGEVILLE FLOWER & GIFT SHOP,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1448,45311001,599201,84,,0,,2,,,1,PointAddress,M,100,INFOGROUP,0
5018088,433841847,LEANNES FLOWER SHOP & GDN CTR,,GRANGEVILLE,ID,Idaho,83530,,45311001,599201,167,,0,,4,,,1,Postal,M,100,INFOGROUP,1
5736174,447476326,GREEN ACRES NURSERY,GREENACRES LN,GRANGEVILLE,ID,Idaho,83530,1330,45311004,599202,334,,0,,8,,,1,PointAddress,M,98.875,INFOGROUP,0
6655416,561887324,LINCARE,FRONTAGE RD,GRANGEVILLE,ID,Idaho,83530,5370,44619904,599920,354,2,7500861,,4,,,2,PointAddress,M,100,INFOGROUP,0
5128018,434904914,LET'S FACE IT!,HIGHWAY 13,GRANGEVILLE,ID,Idaho,83530,5065,45399878,599999,177,,0,,2,,,2,PointAddress,M,100,INFOGROUP,0
11170578,726966907,ROCKY CANYON PELLETS,,GRANGEVILLE,ID,Idaho,83530,,45399878,599999,177,,0,,2,,,2,Postal,M,100,INFOGROUP,1
728324,167190396,WELLS FARGO BANK,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2234,52211002,602101,752,2,1615111,2,6,5,,3,PointAddress,M,100,INFOGROUP,0
2609283,403861339,U.S. BANK BRANCH,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2234,52211002,602101,574,2,441424496,2,5,3,,3,PointAddress,M,100,INFOGROUP,0
11773983,738147711,STERLING SAVINGS BANK,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1931,52211002,602101,574,,0,,5,,,3,PointAddress,M,100,INFOGROUP,0
12053112,806011474,UMPQUA BANK,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1931,52211002,602101,1033,2,511857526,2,9,+,,3,PointAddress,M,100,INFOGROUP,0
3494158,415693689,ATM,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2329,52211001,602103,0,,0,,0,,,,PointAddress,M,100,INFOGROUP,3
3509319,415721787,ATM,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2236,52211001,602103,0,,0,,0,,,,PointAddress,M,100,INFOGROUP,3
4860702,433514335,ATM,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2234,52211001,602103,0,,0,,0,W,,,PointAddress,M,100,INFOGROUP,3
4860820,433514523,ATM,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2234,52211001,602103,0,,0,,0,U,,,PointAddress,M,100,INFOGROUP,3
4963659,433737710,ATM,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1348,52211001,602103,0,,0,,0,,,,PointAddress,M,100,INFOGROUP,3
4969146,433747498,ATM,HIGHWAY 95 N,GRANGEVILLE,ID,Idaho,83530,5348,52211001,602103,0,,0,,0,,,,PointAddress,M,100,INFOGROUP,3
5000804,433802822,ATM,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2233,52211001,602103,0,,0,,0,,,,PointAddress,M,100,INFOGROUP,3
8528471,708312938,ATM,SW 1ST ST,GRANGEVILLE,ID,Idaho,83530,1358,52211001,602103,0,,0,,0,,,,StreetAddress,M,100,INFOGROUP,3
7046918,609765862,POTLATCH NO1 CREDIT UNION,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,5192,52213003,606101,494,,0,,4,,,2,PointAddress,M,100,INFOGROUP,0
7407500,649937091,SUMMIT BROKERAGE SVC INC,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,6001,52312003,621101,1601,2,609888821,,3,,,2,PointAddress,M,100,INFOGROUP,0
12053196,806018271,EK RILEY INVESTMENTS,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2235,52312003,621101,2668,,0,,5,,,3,PointAddress,M,100,INFOGROUP,0
8029951,700195802,IDA-LEE INVESTMENT GROUP,E NORTH ST,GRANGEVILLE,ID,Idaho,83530,1839,52391001,621111,1067,,0,,2,,,2,PointAddress,M,100,INFOGROUP,0
728318,167190206,EIMERS AGENCY,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1932,52421001,641112,148,,0,,1,G,,2,PointAddress,M,100,INFOGROUP,0
728321,167190313,FARM BUREAU MUTUAL INSURANCE,S A ST,GRANGEVILLE,ID,Idaho,83530,1400,52421001,641112,352,2,406588095,,4,)I,,2,PointAddress,M,100,INFOGROUP,0
728341,167191170,LIKKEL INSURANCE AGENCY INC,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2235,52421001,641112,264,,0,,3,,,1,PointAddress,M,100,INFOGROUP,0
728351,167191717,SOLBERG AGENCY INC,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1931,52421001,641112,440,,0,,5,),,2,PointAddress,M,100,INFOGROUP,0
2506624,403310666,NORTHWEST INSURANCE,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1931,52421001,641112,264,,0,,3,,,2,PointAddress,M,100,INFOGROUP,0
2609366,403861644,STATE FARM INSURANCE,W NORTH ST,GRANGEVILLE,ID,Idaho,83530,1240,52421001,641112,264,,0,,3,%Y,,2,PointAddress,M,100,INFOGROUP,0
2655393,404144026,FARMERS INSURANCE,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1932,52421001,641112,176,2,408126506,,2,G,,3,PointAddress,M,100,INFOGROUP,0
2713949,404477348,CENTRAL IDAHO AGENCY INC,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2283,52421001,641112,182,,0,,2,B,,3,PointAddress,M,100,INFOGROUP,0
